名稱,地址,總收容人數,經緯度
豐德宮（廣場）,雲林縣水林鄉蘇秦村海豐路56-1號,200,"23.6319202,120.2551804"
灣東社區活動中心,雲林縣水林鄉灣東村宏仁路40號,60,"23.6054875,120.2399545"
宏仁國小,雲林縣水林鄉灣東村宏仁路30號,50,"23.6043507,120.2415366"
水林鄉公所,雲林縣水林鄉水北村水林路12號,50,"23.5725741,120.245785"
水林國中,雲林縣水林鄉水北村水林路2號,80,"23.5727761,120.2480275"
水燦林國小,雲林縣水林鄉水北村水林路6號,80,"23.5744261,120.2465851"
水燦林國小（水林校區）,雲林縣水林鄉水北村文化路45號,80,"23.5739038,120.2457485"
大興國小,雲林縣水林鄉大溝村大溝路1號,50,"23.5654302,120.2117884"
溪墘社區活動中心,雲林縣水林鄉溪墘村溪墘厝41號,50,"23.537394,120.265195"
尖山國小,雲林縣水林鄉大山村大山路6號,50,"23.5537023,120.2195374"
文正國小,雲林縣水林鄉山腳村蕃東路1號,50,"23.5387414,120.2244064"
松北社區活動中心,雲林縣水林鄉松北村松東路24號,80,"23.5723224,120.244847"
蔦松藝術高中,雲林縣水林鄉松北村蔦松路1-1號,80,"23.5202908,120.2308838"
蔦松國小,雲林縣水林鄉松中村蔦松路213號,50,"23.5141025,120.230183"
中興國小,雲林縣水林鄉瓊埔村瓊埔路48號,50,"23.5145067,120.2101326"
瓊埔村集會所,雲林縣水林鄉瓊埔村瓊埔路83之10號,50,"23.5125103,120.2101575"
塭底村集會所,雲林縣水林鄉塭底村塭底村塭底路90號,30,"23.516765,120.201856"
